排名,sector_name,板块代码,最新价,涨跌额,pct_chg,总市值,换手率,up_count,down_count,lead_stock,领涨股票-涨跌幅,total_count,up_ratio,score_pct,score_up,hot_score
1,氨纶,BK1412,2803.49,173.65,6.6,55282739000,2.0,1,0,华峰化学,6.6,1,1.0,1.0,0.9798387096774194,0.9899193548387097
3,燃料电池,BK1305,292.68,10.41,3.69,4801020000,2.67,1,0,亿华通-U,3.69,1,1.0,0.9959677419354839,0.9798387096774194,0.9879032258064516
8,钴,BK1620,1219.27,32.8,2.76,32751737000,4.2,2,0,寒锐钴业,4.04,2,1.0,0.9858870967741935,0.9798387096774194,0.9828629032258065
10,快递,BK1489,5529.24,140.18,2.6,279973440000,1.05,4,0,申通快递,5.03,4,1.0,0.9818548387096774,0.9798387096774194,0.9808467741935484
11,肉鸡养殖,BK1511,3153.5,77.63,2.52,66965880000,4.09,8,0,益生股份,3.86,8,1.0,0.9798387096774194,0.9798387096774194,0.9798387096774194
2,生猪养殖,BK1512,3874.31,156.63,4.21,441545840000,2.47,11,1,巨星农牧,9.99,12,0.917,0.9979838709677419,0.9536290322580645,0.9758064516129032
16,城商行Ⅲ,BK1609,1510.54,34.27,2.32,1227765792000,0.59,17,0,青岛银行,4.74,17,1.0,0.969758064516129,0.9798387096774194,0.9747983870967742
5,动力煤,BK1493,2247.57,75.76,3.49,1856118960000,1.05,15,1,新集能源,8.61,16,0.938,0.9919354838709677,0.9576612903225806,0.9747983870967742
18,农商行Ⅲ,BK1612,438.09,9.68,2.26,246453831000,0.73,10,0,沪农商行,3.32,10,1.0,0.9667338709677419,0.9798387096774194,0.9732862903225806
6,煤炭开采,BK1250,1734.57,52.15,3.1,2054758368000,1.08,24,2,新集能源,8.61,26,0.923,0.9899193548387096,0.9556451612903226,0.9727822580645161
19,股份制银行Ⅲ,BK1610,2232.71,47.61,2.18,2722336672000,0.42,9,0,浙商银行,4.04,9,1.0,0.9637096774193549,0.9798387096774194,0.9717741935483871
21,银行,BK1283,3963.7,82.76,2.13,14331927296000,0.25,42,0,青岛银行,4.74,42,1.0,0.9596774193548387,0.9798387096774194,0.969758064516129
4,炼油化工,BK1569,3380.55,119.66,3.67,2700911696000,0.29,9,1,东方盛虹,10.04,10,0.9,0.9939516129032258,0.9445564516129032,0.9692540322580645
22,银行Ⅱ,BK0475,3962.87,81.93,2.11,14330628608000,0.25,42,0,青岛银行,4.74,42,1.0,0.9576612903225806,0.9798387096774194,0.96875
23,纺织鞋类制造,BK1347,377.38,7.77,2.1,37437360000,0.19,1,0,华利集团,2.1,1,1.0,0.9556451612903226,0.9798387096774194,0.967741935483871
9,煤炭,BK0437,12446.56,323.4,2.67,2104444064000,1.08,30,3,新集能源,8.61,33,0.909,0.9838709677419355,0.9506048387096774,0.9672379032258065
7,养殖业,BK1259,3657.89,105.92,2.98,516649680000,2.54,20,3,巨星农牧,9.99,23,0.87,0.9879032258064516,0.9354838709677419,0.9616935483870968
31,空调,BK1450,14430.71,241.31,1.7,864687488000,0.78,3,0,美的集团,2.67,3,1.0,0.9395161290322581,0.9798387096774194,0.9596774193548387
32,血液制品,BK1597,4095.52,67.91,1.69,80565108000,1.09,5,0,派林生物,4.41,5,1.0,0.9375,0.9798387096774194,0.9586693548387097
15,焦煤,BK1494,1109.11,26.43,2.44,198206864000,1.15,9,1,平煤股份,4.6,10,0.9,0.9717741935483871,0.9445564516129032,0.9581653225806452
33,电信运营商,BK1587,932.65,14.75,1.61,2553824736000,0.22,3,0,中国电信,2.95,3,1.0,0.9354838709677419,0.9798387096774194,0.9576612903225806
