排名,sector_name,板块代码,最新价,涨跌额,pct_chg,总市值,换手率,up_count,down_count,lead_stock,领涨股票-涨跌幅,total_count,up_ratio
1,氨纶,BK1412,2803.49,173.65,6.6,55282739000,2.0,1,0,华峰化学,6.6,1,1.0
2,生猪养殖,BK1512,3874.31,156.63,4.21,441545840000,2.47,11,1,巨星农牧,9.99,12,0.917
3,燃料电池,BK1305,292.68,10.41,3.69,4801020000,2.67,1,0,亿华通-U,3.69,1,1.0
4,炼油化工,BK1569,3380.55,119.66,3.67,2700911696000,0.29,9,1,东方盛虹,10.04,10,0.9
5,动力煤,BK1493,2247.57,75.76,3.49,1856118960000,1.05,15,1,新集能源,8.61,16,0.938
6,煤炭开采,BK1250,1734.57,52.15,3.1,2054758368000,1.08,24,2,新集能源,8.61,26,0.923
7,养殖业,BK1259,3657.89,105.92,2.98,516649680000,2.54,20,3,巨星农牧,9.99,23,0.87
8,钴,BK1620,1219.27,32.8,2.76,32751737000,4.2,2,0,寒锐钴业,4.04,2,1.0
9,煤炭,BK0437,12446.56,323.4,2.67,2104444064000,1.08,30,3,新集能源,8.61,33,0.909
10,快递,BK1489,5529.24,140.18,2.6,279973440000,1.05,4,0,申通快递,5.03,4,1.0
11,肉鸡养殖,BK1511,3153.5,77.63,2.52,66965880000,4.09,8,0,益生股份,3.86,8,1.0
12,摩托车,BK1521,3316.37,81.23,2.51,155138281000,1.07,6,3,涛涛车业,10.6,9,0.667
13,集成电路制造,BK1329,4817.84,116.43,2.48,2486153632000,4.3,5,3,盛合晶微,9.86,8,0.625
14,医疗研发外包,BK1600,7318.35,175.5,2.46,770739072000,5.53,24,5,诚达药业,12.86,29,0.828
15,焦煤,BK1494,1109.11,26.43,2.44,198206864000,1.15,9,1,平煤股份,4.6,10,0.9
16,城商行Ⅲ,BK1609,1510.54,34.27,2.32,1227765792000,0.59,17,0,青岛银行,4.74,17,1.0
17,集成电路封测,BK1328,10960.8,242.67,2.26,536340960000,8.85,9,4,伟测科技,12.41,13,0.692
18,农商行Ⅲ,BK1612,438.09,9.68,2.26,246453831000,0.73,10,0,沪农商行,3.32,10,1.0
19,股份制银行Ⅲ,BK1610,2232.71,47.61,2.18,2722336672000,0.42,9,0,浙商银行,4.04,9,1.0
20,肉制品,BK1580,2370.42,50.01,2.16,110499309000,1.6,6,1,华统股份,3.66,7,0.857
21,银行,BK1283,3963.7,82.76,2.13,14331927296000,0.25,42,0,青岛银行,4.74,42,1.0
22,银行Ⅱ,BK0475,3962.87,81.93,2.11,14330628608000,0.25,42,0,青岛银行,4.74,42,1.0
23,纺织鞋类制造,BK1347,377.38,7.77,2.1,37437360000,0.19,1,0,华利集团,2.1,1,1.0
24,原材料供应链服务,BK1490,2732.34,52.62,1.96,106346454000,1.24,8,4,厦门象屿,4.6,12,0.667
25,钛白粉,BK1421,1857.58,35.51,1.95,70001755000,2.56,4,2,金浦钛业,10.16,6,0.667
26,有机硅,BK1431,3905.22,72.62,1.89,130813192000,5.42,5,5,新亚强,10.01,10,0.5
